id,npc_id,team_share,item_id,use_alias,quest_act_obj_alias_id
301,647,f,0,f,
302,41,t,0,f,
306,1734,t,0,f,
307,1735,t,0,f,
309,1730,t,0,f,
310,1736,t,0,f,
313,1739,t,0,f,
314,1740,t,0,f,
316,1744,t,0,f,
317,1745,t,0,f,
318,1746,t,0,f,
321,4767,t,0,f,
322,1750,t,0,f,
324,444,t,0,f,
325,1753,t,0,f,
326,1754,t,0,f,
327,1755,t,0,f,
328,1756,t,0,f,
330,1757,t,0,f,
331,1751,t,0,f,
336,4764,t,0,f,
337,4774,f,0,f,
341,4769,t,0,f,
342,4777,f,0,f,
343,4778,f,0,f,
344,4779,f,0,f,
346,4780,f,0,f,
347,4781,f,0,f,
348,4786,f,0,f,
349,4782,f,0,f,
350,5072,t,0,f,
351,5073,f,0,f,
353,5055,f,0,t,219
354,5056,f,0,f,
355,2992,f,0,f,
356,4783,f,0,f,
357,2968,f,0,f,
358,2969,f,0,f,
360,4783,f,0,f,
361,3597,f,0,f,
362,2974,f,0,f,
363,3597,f,0,f,
364,3608,f,0,f,
365,2994,t,0,f,
366,2996,t,0,f,
371,3005,t,0,f,
374,3612,t,0,f,
376,3609,f,0,f,
377,680,t,0,f,
378,680,t,0,f,
380,5167,t,0,f,
382,3628,t,0,f,
385,3530,t,0,f,
387,4783,f,0,f,
389,3050,t,0,f,
391,3011,f,0,f,
392,5063,f,0,f,
395,583,t,0,f,
398,3617,f,0,f,
401,585,f,0,f,
403,3525,t,0,f,
404,570,f,0,f,
405,570,t,0,f,
408,569,f,0,f,
410,567,t,0,f,
412,5168,f,0,f,
413,2131,f,0,f,
414,2082,t,0,f,
415,5073,t,0,f,
417,3000,f,0,f,
418,3000,f,0,f,
423,5207,f,0,f,
424,5208,t,0,f,
425,5122,t,0,f,
426,5122,t,0,f,
428,5122,t,0,f,
430,5169,t,0,f,
431,4795,f,0,f,
432,5171,t,0,f,
433,4796,f,0,f,
434,5235,t,0,f,
435,5234,t,0,f,
438,5178,t,0,f,
439,5173,t,0,f,
440,5234,t,0,f,
441,5234,t,0,f,
442,5240,f,0,f,
443,5213,t,0,f,
447,3733,f,0,f,
448,5180,t,0,f,
449,5181,t,0,f,
450,5176,t,0,f,
451,4806,f,0,f,
452,4807,f,0,f,
454,5176,t,0,f,
456,5183,t,0,f,
457,4808,f,0,f,
458,5185,t,0,f,
460,5185,t,0,f,
461,5177,t,0,f,
462,5276,t,0,f,
463,5276,t,0,f,
464,5242,f,0,f,
467,1,f,0,f,
469,4814,f,0,f,
470,2566,t,0,f,
471,4816,f,0,f,
473,2976,f,0,f,
474,2976,f,0,f,
475,567,t,0,f,
478,5208,t,0,f,
480,5167,f,0,f,
483,2986,t,0,f,
486,3632,t,0,f,
487,3606,f,0,f,
488,5234,t,0,f,
489,5234,t,0,f,
490,4957,t,0,f,
491,2986,t,0,f,
492,4957,t,0,f,
493,4970,t,0,f,
494,4819,f,0,f,
495,1,f,0,f,
496,3516,t,0,f,
498,4823,f,0,f,
499,5163,t,0,f,
502,4980,t,0,f,
503,3629,t,0,f,
504,3621,t,0,f,
505,3621,t,0,f,
506,3621,t,0,f,
510,813,t,0,f,
511,766,t,0,f,
512,4820,f,0,f,
514,4825,f,0,f,
515,5168,t,0,f,
516,3068,t,0,f,
517,3067,f,0,f,
518,3069,t,0,f,
519,3070,t,0,f,
522,1815,t,0,f,
523,1814,t,0,f,
524,1815,t,0,f,
526,4974,t,0,f,
527,5122,t,0,f,
528,1822,t,0,f,
529,1828,t,0,f,
531,1,f,0,f,
532,3080,t,0,f,
534,3071,f,0,f,
536,4975,t,0,f,
538,3536,t,0,t,452
539,1,f,0,f,
540,5174,t,0,f,
544,5275,t,0,f,
545,2082,t,0,f,
547,5122,t,0,f,
548,4818,f,0,f,
549,5177,t,0,f,
550,5184,t,0,f,
551,4817,f,0,f,
553,5559,f,0,f,
554,5559,f,0,f,
555,5559,f,0,f,
556,5559,f,0,f,
557,4972,t,0,f,
560,4820,t,0,f,
561,1758,t,0,f,
563,4573,t,0,f,
564,4577,t,0,f,
565,4580,t,0,f,
566,4581,t,0,f,
567,4582,t,0,f,
568,4584,t,0,f,
569,4585,t,0,f,
570,4587,t,0,f,
573,4592,f,0,f,
574,4630,t,0,f,
575,4594,t,0,f,
576,4600,t,0,f,
579,4202,f,0,f,
581,4757,f,0,f,
585,3434,f,0,f,
586,3436,t,0,f,
588,3363,t,0,f,
589,3421,f,0,f,
590,3422,f,0,f,
591,3425,t,0,t,366
592,3449,f,0,f,
595,4285,f,0,f,
596,4239,t,0,f,
599,4240,f,0,f,
600,4221,t,0,f,
601,4264,t,0,f,
602,4269,t,0,f,
606,5722,t,0,f,
607,5725,t,0,f,
609,1,f,0,f,
611,5723,t,0,f,
615,3417,t,0,f,
617,3418,t,0,f,
618,3417,t,0,f,
619,3417,t,0,f,
621,3172,t,0,f,
622,3169,t,0,f,
623,3168,t,0,f,
625,3165,t,0,f,
626,3173,t,0,f,
627,3166,t,0,f,
628,4295,f,0,f,
629,2447,t,0,f,
634,4220,t,0,f,
635,5743,f,0,f,
642,5082,t,0,f,
643,5082,t,0,f,
644,5085,t,0,f,
647,3290,f,0,t,626
649,2631,f,0,f,
651,2679,f,0,f,
655,3159,t,0,f,
657,3449,f,0,f,
658,567,t,0,f,
660,3284,t,0,f,
661,5794,f,0,f,
662,3131,t,0,t,627
663,3135,f,0,t,628
664,3139,t,0,f,
669,3380,f,0,f,
670,6626,f,0,f,
671,1679,t,0,f,
673,3609,t,0,f,
674,3606,t,0,f,
676,3516,f,0,f,
678,3297,f,0,t,277
679,3302,t,0,f,
680,3606,t,0,f,
681,3629,t,0,f,
684,1,f,0,f,
685,3450,f,0,t,727
686,5929,f,0,f,
688,3837,t,0,f,
689,5253,f,0,t,327
690,5252,f,0,t,328
691,5251,f,0,t,329
695,3451,t,0,t,385
698,4264,t,0,f,
701,4751,f,0,f,
704,4756,f,0,f,
706,4757,f,0,f,
708,4757,f,0,f,
714,2634,t,0,f,
717,3076,t,0,f,
718,4763,f,0,f,
723,6069,t,0,f,
725,4771,f,0,f,
726,473,f,0,f,
727,4773,f,0,f,
729,3606,t,0,f,
730,6055,f,0,f,
731,6055,t,0,f,
735,4775,f,0,f,
736,4774,f,0,f,
741,3292,t,0,f,
743,3629,f,0,f,
744,6059,t,0,f,
745,4261,f,0,f,
746,3628,f,0,f,
747,6059,t,0,f,
749,4260,f,0,f,
750,5927,t,0,f,
753,3403,t,0,f,
754,3417,f,0,f,
756,6953,f,0,t,410
757,6954,f,0,t,411
758,6955,f,0,t,412
759,832,f,0,f,
760,2626,f,0,f,
761,5260,f,0,f,
763,5851,t,0,f,
764,6998,f,0,f,
765,458,f,0,f,
766,832,f,0,f,
768,6517,f,0,f,
769,2525,f,0,f,
774,2143,t,14937,f,
775,5767,f,5767,f,
779,439,t,0,f,
781,2097,f,0,f,
784,5927,f,0,f,
785,5960,f,0,f,
788,2086,f,0,f,
790,2200,t,0,f,
791,2086,f,0,f,
792,3674,t,0,f,
793,3628,t,0,f,
794,4221,t,0,f,
797,4932,f,0,f,
800,4583,f,0,f,
804,4729,f,0,t,114
805,4624,f,0,f,
806,3327,f,0,t,269
807,4617,f,0,f,
809,7152,f,0,t,155
811,7388,f,0,f,
812,7388,f,0,f,
813,5055,f,0,t,220
814,5055,f,0,f,
815,2445,t,0,t,233
816,7548,f,0,f,
817,7225,f,0,f,
819,7293,f,0,f,
821,7242,f,0,f,
824,7472,f,0,f,
825,7249,f,0,f,
826,7255,f,0,f,
827,7252,f,0,f,
828,7245,f,0,f,
830,3303,f,0,t,288
831,7253,f,0,f,
832,7288,f,0,f,
833,7267,f,0,f,
836,7216,f,0,f,
837,7636,f,0,f,
839,3425,t,0,t,364
840,3425,t,0,t,365
843,7723,f,0,t,397
844,4265,f,0,t,635
845,7738,f,0,f,
848,7882,f,0,f,
849,7882,f,0,t,631
851,4272,f,0,t,483
853,8199,f,0,t,504
854,5935,f,0,t,505
855,5934,f,0,t,506
856,5939,f,0,t,507
859,8108,f,0,f,
860,5927,f,0,t,642
861,6497,f,0,f,
863,8059,f,0,t,601
864,8060,f,0,t,602
865,8061,f,0,t,603
866,8062,f,0,t,604
867,8063,f,0,t,605
869,5060,f,0,t,686
870,3329,t,0,t,737
871,8557,f,0,f,
872,1482,f,0,t,862
875,2806,f,0,t,911
876,2807,f,0,t,912
877,8859,t,0,t,936
878,2855,f,0,f,
880,2871,f,0,f,
882,1263,f,0,f,
883,1264,f,0,f,
884,1265,f,0,f,
885,1266,f,0,t,2205
887,1398,f,0,t,982
888,1298,f,0,f,
889,1300,f,0,f,
890,2851,f,0,t,985
891,2800,f,0,t,986
892,2801,f,0,t,987
893,2823,f,0,t,988
894,2756,f,0,t,989
896,1444,t,0,t,992
897,2758,f,0,f,
898,2823,f,0,f,
899,9203,f,0,t,1003
901,9273,f,0,f,
902,9320,f,0,t,1013
905,1057,f,0,t,1053
906,1127,f,0,t,1054
907,990,f,0,t,1055
908,9528,f,0,t,1087
911,9610,f,0,t,1147
915,8910,f,0,t,1200
918,8883,f,0,t,1199
919,9843,f,0,f,
920,9846,t,0,t,1211
921,9826,f,0,t,1219
924,9801,f,0,t,1966
925,7893,f,0,f,
926,9460,t,0,t,1358
927,9461,t,0,t,1359
928,9462,t,0,t,1360
929,479,f,0,f,
930,8973,f,0,f,
932,2870,f,0,t,1409
933,2751,f,0,t,1410
934,2748,f,0,t,1411
937,9383,f,0,t,1416
938,10150,f,0,f,
943,4965,f,0,f,
945,10339,f,0,f,
946,10048,f,0,t,1821
947,10312,f,0,f,
948,2419,f,0,t,1463
949,3423,f,0,t,1512
950,3448,f,0,t,1513
951,5869,f,0,t,1565
953,10468,f,0,f,
955,7934,f,0,t,1562
956,1741,f,0,f,1564
958,10758,f,0,f,
959,1741,f,0,t,1654
960,10832,f,0,t,1660
961,10066,f,0,t,1678
964,2123,t,0,t,1713
965,7736,f,0,t,1724
966,8993,t,0,t,1726
967,9395,f,0,t,1728
968,1931,f,0,f,
969,10586,f,0,f,
970,10988,f,0,f,
971,11275,f,0,t,1847
972,10564,f,0,f,
973,9789,f,0,f,
974,10849,f,0,t,1893
976,7736,f,0,f,1896
977,11070,f,0,f,
982,10894,f,0,t,1983
983,907,f,0,t,1993
984,12022,f,0,t,1996
986,6400,f,0,t,2014
988,9039,f,0,t,2056
989,9040,f,0,t,2057
990,9050,f,0,t,2058
991,8782,f,0,f,
992,12134,f,0,t,2079
993,7594,f,0,t,2119
994,9762,f,0,t,2168
995,9763,f,0,t,2166
996,12318,f,0,t,2167
997,2652,f,0,t,2170
998,2653,f,0,t,2171
999,2627,f,0,t,2172
1000,3664,f,0,t,2183
1001,3301,f,0,t,2198
1002,1966,f,0,t,2199
1004,10331,f,0,t,2216
1008,80,f,0,f,
1010,80,f,0,t,2336
1011,80,f,0,t,2338
1012,680,f,0,t,2339
1013,12732,f,0,t,2341
1015,2538,f,0,f,
1016,2535,f,0,f,
1017,2543,f,0,f,
1018,3567,f,0,f,
1019,5931,f,0,t,2400
1020,3602,f,0,t,2401
1021,12454,f,0,t,2408
1022,2678,f,0,t,2409
1023,5697,f,0,t,2410
1024,4291,f,0,t,2411
1029,9040,f,0,f,
1030,13288,f,0,f,
1033,13317,t,0,f,
1035,13473,f,0,f,
1037,13632,f,0,f,
1038,5348,f,0,f,
1039,13508,f,0,f,
1040,1199,f,0,f,
1041,13507,f,0,f,
1042,11409,f,0,f,
1043,6501,f,0,f,
1044,11376,f,0,f,
1045,6509,f,0,f,
1047,13725,f,0,f,
1049,13770,f,0,f,
1050,13770,f,0,f,
1051,13946,f,0,t,2608
1052,13987,f,0,f,
1053,13987,f,0,f,
