id,owner_id,owner_type,unit_attribute_id,unit_modifier_type_id,value,linear_level_bonus
1264,240,Buff,10,0,-60,0
1265,53,Buff,6,0,133,0
1277,500,Npc,1,0,100,0
1278,500,Npc,8,0,100,0
1280,254,Buff,6,1,-10,0
1294,259,Buff,10,0,-30,0
1298,260,Buff,3,0,46,0
1299,261,Buff,3,0,56,0
1300,262,Buff,3,0,56,0
1308,11,Buff,64,1,25,0
1309,265,Buff,64,0,-25,0
1391,268,Buff,64,0,2000,0
1394,269,Buff,64,0,2000,0
1395,269,Buff,65,0,0,0
1836,272,Buff,10,0,10,0
1844,277,Buff,6,0,83,0
1846,278,Buff,6,0,133,0
1847,279,Buff,6,0,183,0
1848,280,Buff,6,0,233,0
1849,281,Buff,6,0,500,0
1850,282,Buff,6,0,600,0
1851,283,Buff,7,0,68,0
1852,284,Buff,7,0,108,0
1853,285,Buff,7,0,148,0
1854,286,Buff,7,0,188,0
1855,287,Buff,7,0,300,0
1856,288,Buff,7,0,400,0
1857,289,Buff,8,0,174,0
1858,290,Buff,8,0,414,0
1859,291,Buff,8,0,654,0
1860,292,Buff,8,0,894,0
1861,293,Buff,8,0,810,0
1862,294,Buff,8,0,1070,0
1863,295,Buff,51,1,2,0
1864,296,Buff,51,0,3,0
1865,297,Buff,51,0,5,0
1866,298,Buff,51,0,7,0
1867,299,Buff,51,0,9,0
1868,300,Buff,33,0,10,0
1869,301,Buff,34,0,2,0
1870,302,Buff,34,0,4,0
1871,303,Buff,34,0,6,0
1872,304,Buff,34,0,8,0
1873,305,Buff,34,0,10,0
1874,306,Buff,34,0,12,0
1875,307,Buff,35,0,2,0
1876,308,Buff,35,0,4,0
1877,309,Buff,35,0,6,0
1878,310,Buff,35,0,8,0
1879,311,Buff,35,0,10,0
1880,312,Buff,35,0,12,0
1886,313,Buff,11,0,1,0
1887,314,Buff,11,0,2,0
1888,315,Buff,11,0,3,0
1889,316,Buff,11,0,4,0
1890,317,Buff,11,0,5,0
1891,318,Buff,11,0,6,0
1892,319,Buff,12,0,1,0
1893,320,Buff,12,0,2,0
1894,321,Buff,12,0,3,0
1895,322,Buff,12,0,4,0
1896,323,Buff,12,0,5,0
1897,324,Buff,12,0,6,0
1917,328,Buff,80,0,250,0
1919,329,Buff,80,0,310,0
1921,330,Buff,80,0,380,0
1922,331,Buff,6,0,313,0
1923,332,Buff,6,0,493,0
1924,333,Buff,6,0,673,0
1925,334,Buff,6,0,844,0
1996,439,Npc,10,1,100,0
2173,1807,Item,0,0,2,0
2174,1807,Item,2,0,2,0
2175,1807,Item,4,0,1,0
2177,1850,Item,2,0,1,0
2185,1853,Item,0,0,9,0
2186,1853,Item,1,0,5,0
2187,1854,Item,0,0,4,0
2188,1854,Item,3,0,4,0
2189,1854,Item,4,0,4,0
2261,453,Npc,3,0,200,0
2262,1851,Item,2,0,3,0
2296,339,Buff,10,0,50,0
2297,339,Buff,1,0,120,0
2298,340,Buff,10,0,35,0
2299,340,Buff,1,0,160,0
2380,344,Buff,51,0,30,0
2381,344,Buff,52,0,30,0
2382,345,Buff,17,0,5,0
2383,345,Buff,26,0,5,0
2384,346,Buff,77,0,10,0
2385,346,Buff,82,0,10,0
2386,347,Buff,53,0,30,0
2387,348,Buff,31,0,5,0
2388,349,Buff,86,0,10,0
2389,350,Buff,8,1,3,0
2390,351,Buff,6,1,3,0
2391,351,Buff,7,1,3,0
2392,352,Buff,11,0,1,0
2393,352,Buff,12,0,1,0
2394,353,Buff,10,0,3,0
2395,354,Buff,20,1,3,0
2396,354,Buff,59,1,3,0
2398,355,Buff,54,0,30,0
2399,355,Buff,55,0,30,0
2409,9,BuffUnitModifier,53,1,10,0
2410,10,BuffUnitModifier,53,1,10,0
2411,11,BuffUnitModifier,53,1,10,0
2412,12,BuffUnitModifier,53,0,10,0
2413,13,BuffUnitModifier,66,0,0,0
2414,14,BuffUnitModifier,63,0,3,0
2415,15,BuffUnitModifier,53,1,20,0
2416,16,BuffUnitModifier,53,1,20,0
2417,17,BuffUnitModifier,53,1,20,0
2418,18,BuffUnitModifier,66,0,0,0
2419,19,BuffUnitModifier,66,0,0,0
2420,20,BuffUnitModifier,53,1,20,0
2421,21,BuffUnitModifier,53,1,20,0
2423,387,Buff,11,1,-90,0
2424,387,Buff,12,1,-90,0
2448,174,Npc,2,0,300,0
2451,388,Buff,78,0,-250,0
2456,146,Buff,10,0,-20,0
2475,394,Buff,18,1,-30,0
2476,394,Buff,54,0,-200,0
2477,36,Buff,64,0,-50,0
2478,71,Buff,12,1,500,0
2481,397,Buff,11,0,-90,0
2482,397,Buff,12,0,-90,0
2545,3835,Npc,10,1,100,0
2647,3891,Npc,6,0,700,0
2648,175,Npc,2,0,300,0
2649,175,Npc,4,0,300,0
2650,174,Npc,4,0,300,0
2651,411,Buff,54,0,-600,0
2652,411,Buff,55,0,-600,0
2653,411,Buff,10,0,-70,0
2654,412,Buff,54,0,-600,0
2655,412,Buff,55,0,-600,0
2656,412,Buff,10,0,-70,0
2778,2174,Npc,6,1,-90,0
2789,2075,Npc,10,0,100,0
2990,203,Buff,10,0,-50,0
3007,4657,Item,0,0,2,0
3026,4665,Item,0,0,1,0
3027,4665,Item,2,0,1,0
3028,4666,Item,0,0,2,0
3032,4669,Item,3,0,1,0
3033,4669,Item,4,0,1,0
3034,4670,Item,3,0,2,0
3035,4667,Item,0,0,1,0
3036,4667,Item,2,0,1,0
3037,4668,Item,2,0,2,0
3040,4672,Item,1,0,2,0
3041,4673,Item,0,0,2,0
3042,4673,Item,1,0,2,0
3043,4673,Item,2,0,1,0
3044,4674,Item,0,0,3,0
3045,4674,Item,1,0,2,0
3056,4679,Item,0,0,2,0
3057,4679,Item,1,0,1,0
3058,4679,Item,2,0,2,0
3059,4680,Item,0,0,2,0
3060,4680,Item,2,0,3,0
3061,4681,Item,0,0,2,0
3062,4681,Item,1,0,1,0
3063,4681,Item,2,0,2,0
3064,4682,Item,0,0,2,0
3065,4682,Item,2,0,3,0
3066,4683,Item,2,0,2,0
3067,4683,Item,3,0,2,0
3068,4683,Item,4,0,1,0
3069,4684,Item,2,0,2,0
3070,4684,Item,3,0,3,0
3071,4685,Item,0,0,2,0
3072,4685,Item,1,0,2,0
3073,4685,Item,2,0,1,0
3074,4686,Item,0,0,2,0
3075,4686,Item,1,0,3,0
3079,4688,Item,0,0,4,0
3080,4688,Item,1,0,5,0
3091,4693,Item,0,0,4,0
3092,4693,Item,1,0,3,0
3093,4693,Item,2,0,3,0
3094,4694,Item,0,0,5,0
3095,4694,Item,2,0,4,0
3096,4695,Item,0,0,4,0
3097,4695,Item,1,0,3,0
3098,4695,Item,2,0,3,0
3099,4696,Item,0,0,5,0
3100,4696,Item,2,0,4,0
3103,4697,Item,3,0,4,0
3104,4697,Item,4,0,5,0
3105,4698,Item,2,0,4,0
3106,4698,Item,3,0,5,0
3107,4699,Item,0,0,3,0
3108,4699,Item,1,0,4,0
3109,4699,Item,2,0,3,0
3110,4700,Item,0,0,4,0
3111,4700,Item,1,0,5,0
3120,2075,Npc,2,0,100,0
3163,4671,Item,1,0,1,0
3164,4671,Item,2,0,1,0
3300,4823,Item,0,0,3,0
3301,4823,Item,1,0,4,0
3302,4823,Item,2,0,3,0
3303,4824,Item,0,0,5,0
3304,4824,Item,2,0,4,0
3305,4834,Item,0,0,3,0
3306,4834,Item,1,0,4,0
3307,4834,Item,2,0,3,0
3308,4833,Item,2,0,4,0
3309,4833,Item,3,0,5,0
3310,4832,Item,0,0,4,0
3311,4832,Item,1,0,3,0
3312,4832,Item,2,0,3,0
3316,4830,Item,0,0,4,0
3317,4830,Item,1,0,3,0
3318,4830,Item,2,0,3,0
3319,4829,Item,0,0,5,0
3320,4829,Item,2,0,4,0
3323,4827,Item,0,0,4,0
3324,4827,Item,1,0,5,0
3325,4826,Item,0,0,4,0
3326,4826,Item,1,0,5,0
3327,4825,Item,3,0,4,0
3328,4825,Item,4,0,5,0
3332,273,Buff,54,0,50,0
3333,273,Buff,55,0,50,0
3336,3673,Npc,10,1,300,0
3337,3673,Npc,4,1,300,0
3339,4658,Item,1,0,1,0
3340,4658,Item,3,0,1,0
3341,4662,Item,1,0,2,0
3342,4675,Item,0,0,1,0
3343,4675,Item,1,0,2,0
3344,4675,Item,2,0,2,0
3345,4676,Item,1,0,3,0
3346,4676,Item,2,0,2,0
3347,4689,Item,0,0,3,0
3348,4689,Item,1,0,3,0
3349,4689,Item,2,0,4,0
3354,4828,Item,1,0,4,0
3355,4828,Item,2,0,5,0
3356,385,Buff,10,0,60,0
3357,3958,Item,0,0,5,0
3358,3958,Item,1,0,4,0
3359,3958,Item,2,0,4,0
3360,3959,Item,2,0,5,0
3361,3959,Item,3,0,4,0
3362,3959,Item,4,0,4,0
3363,3960,Item,0,0,5,0
3364,3960,Item,2,0,6,0
3365,3961,Item,1,0,6,0
3366,3961,Item,2,0,5,0
3367,3962,Item,3,0,6,0
3368,3962,Item,4,0,5,0
3369,3963,Item,3,0,6,0
3370,3963,Item,4,0,5,0
3371,3964,Item,0,0,10,0
3372,3965,Item,1,0,10,0
3373,3966,Item,2,0,10,0
3374,3967,Item,3,0,10,0
3375,3968,Item,4,0,10,0
3376,3969,Item,0,0,7,0
3377,3969,Item,1,0,6,0
3378,3969,Item,2,0,6,0
3379,3970,Item,2,0,7,0
3380,3970,Item,3,0,6,0
3381,3970,Item,4,0,6,0
3382,3971,Item,0,0,7,0
3383,3971,Item,2,0,8,0
3384,3972,Item,1,0,8,0
3385,3972,Item,2,0,7,0
3386,3973,Item,3,0,8,0
3387,3973,Item,4,0,7,0
3388,3974,Item,0,0,14,0
3389,3975,Item,1,0,14,0
3390,3976,Item,2,0,14,0
3391,3977,Item,3,0,14,0
3392,3978,Item,4,0,14,0
3393,3979,Item,0,0,10,0
3394,3979,Item,1,0,9,0
3395,3979,Item,2,0,9,0
3396,3980,Item,2,0,10,0
3397,3980,Item,3,0,9,0
3398,3980,Item,4,0,9,0
3399,3981,Item,0,0,10,0
3400,3981,Item,2,0,10,0
3401,3982,Item,1,0,10,0
3402,3982,Item,2,0,10,0
3403,3983,Item,3,0,10,0
3404,3983,Item,4,0,10,0
3405,3984,Item,0,0,18,0
3406,3985,Item,1,0,18,0
3407,3986,Item,2,0,18,0
3408,3987,Item,3,0,18,0
3409,3988,Item,4,0,18,0
3410,268,Buff,65,0,1000,0
3436,2953,Item,8,0,871,0
3437,4654,Item,0,0,1,0
3438,4654,Item,1,0,1,0
3439,122,Buff,0,0,2,0
3440,122,Buff,1,0,2,0
3441,122,Buff,2,0,2,0
3442,122,Buff,3,0,2,0
3443,122,Buff,4,0,2,0
3492,3062,Item,3,0,2,0
3493,3062,Item,4,0,3,0
3506,3069,Item,1,0,2,0
3507,3069,Item,2,0,3,0
3513,3072,Item,0,0,4,0
3514,3072,Item,1,0,3,0
3543,3086,Item,3,0,6,0
3544,3086,Item,4,0,6,0
3626,438,Buff,10,0,-20,0
3631,445,Buff,67,0,30,0
3632,446,Buff,67,0,45,0
3633,447,Buff,67,0,60,0
3634,448,Buff,67,0,75,0
3637,451,Buff,52,0,90,0
3638,452,Buff,52,0,110,0
3639,453,Buff,52,0,130,0
3640,454,Buff,52,0,150,0
3641,430,Buff,10,0,50,0
3644,457,Buff,4,0,26,0
3645,458,Buff,4,0,36,0
3646,459,Buff,4,0,46,0
3647,460,Buff,4,0,56,0
3649,462,Buff,71,0,-60,0
3650,463,Buff,71,0,-70,0
3651,464,Buff,71,0,-80,0
3652,465,Buff,71,0,-90,0
3653,466,Buff,71,0,-100,0
3655,467,Buff,58,0,120,0
3663,5158,Npc,10,0,160,0
3664,5159,Npc,10,0,160,0
3665,5160,Npc,10,0,160,0
3666,5161,Npc,10,0,160,0
3667,2099,Npc,0,0,50,0
3668,2100,Npc,0,0,50,0
3669,2101,Npc,0,0,50,0
3670,531,Npc,6,0,-500,0
3671,479,Buff,84,0,140,0
3672,480,Buff,82,0,30,0
3673,480,Buff,26,0,25,0
3677,482,Buff,71,0,-60,0
3680,485,Buff,10,0,-20,0
3684,5152,Npc,10,1,120,0
3685,486,Buff,10,0,10,0
3686,487,Buff,56,0,100,0
3696,495,Buff,86,0,320,0
3698,3038,Item,3,0,3,0
3699,3038,Item,4,0,3,0
3702,3040,Item,3,0,1,0
3703,3040,Item,4,0,2,0
3704,3041,Item,3,0,3,0
3705,3041,Item,4,0,2,0
3706,3042,Item,3,0,1,0
3707,3042,Item,4,0,2,0
3708,5075,Item,37,0,10,0
3709,5075,Item,38,0,10,0
3715,506,Buff,85,0,120,0
3716,328,Buff,85,0,250,0
3719,329,Buff,85,0,310,0
3720,330,Buff,85,0,380,0
3724,181,Buff,52,0,300,0
3726,1801,Item,4,0,2,0
3727,1801,Item,0,0,9,0
3728,1801,Item,1,0,5,0
3731,4664,Item,2,0,1,0
3732,4677,Item,0,0,2,0
3733,4677,Item,2,0,2,0
3734,4677,Item,4,0,1,0
3735,4678,Item,0,0,3,0
3736,4678,Item,2,0,2,0
3737,4691,Item,0,0,3,0
3738,4691,Item,2,0,4,0
3739,4691,Item,4,0,3,0
3740,4692,Item,0,0,4,0
3741,4692,Item,2,0,5,0
3742,4704,Item,2,0,1,0
3745,4831,Item,0,0,3,0
3746,4831,Item,2,0,4,0
3747,4831,Item,4,0,3,0
3755,512,Buff,77,0,40,0
3756,513,Buff,79,0,160,0
3759,529,Buff,11,1,500,0
3760,530,Buff,12,1,500,0
3762,532,Buff,0,1,150,0
3764,22,BuffUnitModifier,0,1,200,0
3765,536,Buff,7,1,10,0
3766,539,Buff,68,0,20,0
4031,552,Buff,56,0,150,0
4032,21,Slave,6,0,47420,0
4033,3058,Item,3,0,4,0
4034,3058,Item,4,0,3,0
4035,4135,Item,3,0,6,0
4036,4135,Item,4,0,6,0
4057,576,Buff,47,1,30,0
4058,576,Buff,48,1,30,0
4059,580,Buff,0,0,25,0
4060,580,Buff,10,0,70,0
4076,2508,Npc,0,1,20,0
4080,21,Slave,10,0,100,0
4081,21,Slave,72,0,100,0
4082,2520,Npc,0,1,10,0
4083,4974,Npc,10,0,140,0
4084,4975,Npc,10,0,140,0
4085,585,Buff,10,0,-50,0
4094,592,Buff,10,0,-20,0
4099,599,Buff,10,0,-30,0
4100,600,Buff,10,0,-20,0
4102,603,Buff,10,0,-20,0
4127,2925,Npc,6,1,10,0
4434,5413,Item,2,0,3,0
4435,5414,Item,3,0,3,0
4436,5415,Item,0,0,5,0
4451,5423,Item,0,0,7,0
4452,5423,Item,4,0,6,0
4453,5424,Item,1,0,6,0
4454,5424,Item,2,0,7,0
4455,5425,Item,0,0,8,0
4456,5425,Item,4,0,7,0
4483,5435,Item,1,0,10,0
4484,5435,Item,2,0,11,0
4485,5435,Item,81,0,10,0
4486,5436,Item,1,0,10,0
4487,5436,Item,3,0,11,0
4488,5436,Item,6,0,223,0
4489,5437,Item,0,0,12,0
4490,5437,Item,4,0,11,0
4491,5437,Item,77,0,10,0
4492,5438,Item,1,0,11,0
4493,5438,Item,2,0,12,0
4494,5438,Item,81,0,10,0
4495,5439,Item,1,0,11,0
4496,5439,Item,3,0,12,0
4497,5439,Item,7,0,116,0
4522,5447,Item,0,0,11,0
4523,5447,Item,2,0,11,0
4524,5447,Item,4,0,13,0
4525,5447,Item,81,0,10,0
4526,5448,Item,0,0,14,0
4527,5448,Item,1,0,12,0
4528,5448,Item,4,0,12,0
4529,5448,Item,12,0,2,0
4530,5449,Item,1,0,12,0
4531,5449,Item,2,0,14,0
4532,5449,Item,4,0,12,0
4533,5449,Item,81,0,10,0
4534,5450,Item,0,0,12,0
4535,5450,Item,1,0,12,0
4536,5450,Item,3,0,14,0
4537,5450,Item,6,0,306,0
4538,5451,Item,0,0,12,0
4539,5451,Item,2,0,12,0
4540,5451,Item,4,0,14,0
4541,5451,Item,33,0,7,0
4570,5459,Item,0,0,14,0
4571,5459,Item,1,0,14,0
4572,5459,Item,3,0,16,0
4573,5459,Item,6,0,349,0
4574,5460,Item,0,0,14,0
4575,5460,Item,2,0,14,0
4576,5460,Item,4,0,16,0
4577,5460,Item,33,0,8,0
4578,5461,Item,0,0,14,0
4579,5461,Item,2,0,14,0
4580,5461,Item,3,0,16,0
4581,5461,Item,7,0,156,0
4582,5462,Item,0,0,17,0
4583,5462,Item,1,0,15,0
4584,5462,Item,4,0,15,0
4585,5462,Item,77,0,20,0
4586,5463,Item,1,0,15,0
4587,5463,Item,2,0,17,0
4588,5463,Item,4,0,15,0
4589,5463,Item,81,0,10,0
4618,5471,Item,0,0,23,0
4619,5471,Item,1,0,17,0
4620,5471,Item,4,0,17,0
4621,5471,Item,77,0,20,0
4622,5472,Item,1,0,17,0
4623,5472,Item,2,0,23,0
4624,5472,Item,4,0,17,0
4625,5472,Item,81,0,10,0
4626,5473,Item,0,0,17,0
4627,5473,Item,1,0,17,0
4628,5473,Item,3,0,23,0
4629,5473,Item,7,0,270,0
4630,5474,Item,0,0,17,0
4631,5474,Item,2,0,17,0
4632,5474,Item,4,0,23,0
4633,5474,Item,81,0,10,0
4634,5475,Item,0,0,17,0
4640,5476,Item,3,0,17,0
4641,5476,Item,33,0,14,0
4642,5477,Item,0,0,25,0
4643,5477,Item,1,0,18,0
4644,5477,Item,4,0,18,0
4645,5477,Item,81,0,10,0
4646,5478,Item,1,0,18,0
4647,5478,Item,2,0,25,0
4648,5478,Item,4,0,18,0
4649,5478,Item,12,0,3,0
4650,5479,Item,0,0,18,0
4651,5479,Item,1,0,18,0
4652,5479,Item,3,0,25,0
4653,5479,Item,6,0,659,0
4654,5480,Item,0,0,18,0
4655,5480,Item,2,0,18,0
4656,5480,Item,4,0,25,0
4657,5480,Item,33,0,15,0
4658,5481,Item,0,0,18,0
4659,5481,Item,2,0,18,0
4660,5481,Item,3,0,25,0
4661,5481,Item,7,0,282,0
4662,5482,Item,0,0,27,0
4663,5482,Item,1,0,19,0
4664,5482,Item,4,0,19,0
4665,5482,Item,77,0,20,0
4666,5483,Item,1,0,19,0
4667,5483,Item,2,0,27,0
4668,5483,Item,4,0,19,0
4669,5483,Item,81,0,10,0
4670,5484,Item,0,0,19,0
4671,5484,Item,1,0,19,0
4672,5484,Item,3,0,27,0
4673,5484,Item,7,0,294,0
4674,5485,Item,0,0,19,0
4675,5485,Item,2,0,19,0
4676,5485,Item,4,0,27,0
4677,5485,Item,81,0,10,0
4678,5486,Item,0,0,19,0
4679,5486,Item,2,0,19,0
4680,5486,Item,3,0,27,0
4681,5486,Item,6,0,693,0
4682,5487,Item,1,0,19,0
4683,5487,Item,2,0,27,0
4684,5487,Item,3,0,19,0
4685,5487,Item,33,0,16,0
4686,5488,Item,0,0,29,0
4687,5488,Item,1,0,20,0
4688,5488,Item,4,0,20,0
4689,5488,Item,81,0,10,0
4690,5489,Item,1,0,20,0
4691,5489,Item,2,0,29,0
4692,5489,Item,4,0,20,0
4693,5489,Item,12,0,3,0
4694,5490,Item,0,0,20,0
4695,5490,Item,1,0,20,0
4696,5490,Item,3,0,29,0
4697,5490,Item,6,0,728,0
4698,5491,Item,0,0,20,0
4699,5491,Item,2,0,20,0
4700,5491,Item,4,0,29,0
4701,5491,Item,33,0,17,0
4702,5492,Item,0,0,20,0
4703,5492,Item,2,0,20,0
4704,5492,Item,3,0,29,0
4705,5492,Item,7,0,306,0
4706,5493,Item,0,0,32,0
4707,5493,Item,1,0,21,0
4708,5493,Item,4,0,21,0
4709,5493,Item,77,0,20,0
4710,5494,Item,1,0,21,0
4711,5494,Item,2,0,32,0
4712,5494,Item,4,0,21,0
4713,5494,Item,81,0,10,0
4714,5495,Item,0,0,21,0
4715,5495,Item,1,0,21,0
4716,5495,Item,3,0,32,0
4717,5495,Item,7,0,312,0
4718,5496,Item,0,0,21,0
4719,5496,Item,2,0,21,0
4720,5496,Item,4,0,32,0
4721,5496,Item,81,0,10,0
4722,5497,Item,0,0,21,0
4723,5497,Item,2,0,21,0
4724,5497,Item,3,0,32,0
4725,5497,Item,6,0,746,0
4726,5498,Item,1,0,21,0
4727,5498,Item,2,0,32,0
4728,5498,Item,3,0,21,0
4729,5498,Item,33,0,17,0
4730,5499,Item,0,0,32,0
4731,5499,Item,1,0,21,0
4732,5499,Item,2,0,21,0
4733,5499,Item,81,0,10,0
4738,5504,Item,0,0,6,0
4739,5505,Item,2,0,6,0
4746,5509,Item,1,0,4,0
4747,5509,Item,2,0,8,0
4748,5510,Item,0,0,9,0
4749,5510,Item,4,0,5,0
4750,5511,Item,1,0,5,0
4751,5511,Item,2,0,9,0
4752,5512,Item,0,0,10,0
4753,5512,Item,4,0,6,0
4754,5513,Item,1,0,6,0
4755,5513,Item,2,0,10,0
4756,5514,Item,0,0,11,0
4757,5514,Item,4,0,7,0
4758,5514,Item,81,0,20,0
4768,5518,Item,1,0,8,0
4769,5518,Item,2,0,12,0
4770,5518,Item,6,0,532,0
4771,5519,Item,0,0,13,0
4772,5519,Item,4,0,9,0
4773,5519,Item,81,0,20,0
4774,5520,Item,1,0,9,0
4775,5520,Item,2,0,13,0
4776,5520,Item,6,0,583,0
4777,5521,Item,0,0,14,0
4778,5521,Item,4,0,10,0
4779,5521,Item,77,0,20,0
4780,5522,Item,1,0,10,0
4781,5522,Item,2,0,14,0
4782,5522,Item,6,0,635,0
4783,5523,Item,1,0,10,0
4784,5523,Item,3,0,14,0
4785,5523,Item,7,0,300,0
4795,5527,Item,0,0,16,0
4796,5527,Item,2,0,11,0
4797,5527,Item,4,0,11,0
4798,5527,Item,77,0,20,0
4799,5528,Item,1,0,11,0
4800,5528,Item,2,0,16,0
4801,5528,Item,3,0,11,0
4802,5528,Item,6,0,740,0
4803,5529,Item,0,0,11,0
4804,5529,Item,1,0,11,0
4805,5529,Item,3,0,16,0
4806,5529,Item,7,0,340,0
4807,5530,Item,0,0,17,0
4808,5530,Item,2,0,12,0
4809,5530,Item,4,0,12,0
4810,5530,Item,81,0,20,0
4811,5531,Item,1,0,12,0
4812,5531,Item,2,0,17,0
4813,5531,Item,3,0,12,0
4814,5531,Item,6,0,793,0
4815,5532,Item,0,0,12,0
4816,5532,Item,1,0,12,0
4817,5532,Item,3,0,17,0
4818,5532,Item,7,0,360,0
4831,5536,Item,0,0,13,0
4832,5536,Item,1,0,13,0
4833,5536,Item,3,0,18,0
4834,5536,Item,7,0,380,0
4835,5537,Item,0,0,19,0
4836,5537,Item,2,0,14,0
4837,5537,Item,4,0,14,0
4838,5537,Item,81,0,20,0
4839,5538,Item,1,0,14,0
4840,5538,Item,2,0,19,0
4841,5538,Item,3,0,14,0
4842,5538,Item,6,0,900,0
4843,5539,Item,0,0,14,0
4844,5539,Item,1,0,14,0
4845,5539,Item,3,0,19,0
4846,5539,Item,7,0,400,0
4847,5540,Item,0,0,19,0
4848,5540,Item,1,0,14,0
4849,5540,Item,4,0,14,0
4850,5540,Item,33,0,21,0
4851,5541,Item,0,0,20,0
4852,5541,Item,2,0,15,0
4853,5541,Item,4,0,15,0
4854,5541,Item,77,0,30,0
4867,5545,Item,0,0,21,0
4868,5545,Item,2,0,16,0
4869,5545,Item,4,0,16,0
4870,5545,Item,81,0,20,0
4871,5546,Item,1,0,16,0
4872,5546,Item,2,0,21,0
4873,5546,Item,3,0,16,0
4874,5546,Item,6,0,1013,0
4875,5547,Item,0,0,16,0
4876,5547,Item,1,0,16,0
4877,5547,Item,3,0,21,0
4878,5547,Item,7,0,440,0
4879,5548,Item,0,0,21,0
4880,5548,Item,1,0,16,0
4881,5548,Item,4,0,16,0
4882,5548,Item,33,0,23,0
4883,5549,Item,0,0,22,0
4884,5549,Item,2,0,17,0
4885,5549,Item,4,0,17,0
4886,5549,Item,77,0,30,0
4887,5550,Item,1,0,17,0
4888,5550,Item,2,0,22,0
4889,5550,Item,3,0,17,0
4890,5550,Item,6,0,1067,0
4891,5551,Item,0,0,17,0
4892,5551,Item,1,0,17,0
4893,5551,Item,3,0,22,0
4894,5551,Item,7,0,460,0
4895,5552,Item,0,0,22,0
4896,5552,Item,1,0,17,0
4897,5552,Item,4,0,17,0
4898,5552,Item,33,0,25,0
4899,5553,Item,1,0,17,0
4900,5553,Item,2,0,22,0
4901,5553,Item,4,0,17,0
4902,5553,Item,77,0,30,0
4903,5554,Item,0,0,23,0
4904,5554,Item,2,0,18,0
4905,5554,Item,4,0,18,0
4906,5554,Item,81,0,20,0
4907,5555,Item,1,0,18,0
4908,5555,Item,2,0,23,0
4909,5555,Item,3,0,18,0
4910,5555,Item,6,0,1125,0
4911,5556,Item,0,0,18,0
4912,5556,Item,1,0,18,0
4913,5556,Item,3,0,23,0
4914,5556,Item,7,0,480,0
